shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,fs_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,fs_total_yd,diff_total_yd,rollout_physics_yd,rollout_fs_yd,diff_rollout_yd,physics_apex_ft,fs_apex_ft,diff_apex_ft,gsp_carry_yd,gsp_total_yd,gsp_apex_ft,diff_gsp_carry_yd,diff_gsp_total_yd,diff_gsp_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s4_shot_9i_18,74.6,23.6,2.5,6418,6.1,I-S1b-V2-P3,<115,85.0,86.6,-1.6,85.0,-1.6,101.6,88.8,12.8,16.6,2.2,14.4,39.3,42.3,-3.0,,,,,,,,,,false,severe
s3_shot_6i_36,78.9,10.4,16.1,4166,25.1,I-S1b-V1-P2,<115,69.6,67.8,1.8,69.6,1.8,101.8,89.1,12.7,32.2,21.3,10.9,12.3,11.8,0.5,,,,,,,,,,false,severe
s5_shot_7i_29,110.0,12.9,-0.5,3297,9.0,D-S3-V1-P1,150-180,148.3,150.7,-2.4,148.3,-2.4,150.3,163.0,-12.7,2.0,12.3,-10.3,39.3,42.9,-3.6,,,,,,,,,,false,severe
s4_shot_9i_15,75.3,23.7,-1.3,6790,2.9,I-S1b-V2-P3,<115,86.2,87.7,-1.5,86.2,-1.5,101.9,89.3,12.6,15.7,1.6,14.1,40.7,43.9,-3.2,,,,,,,,,,false,severe
wedge_test_shot,66.4,23.2,-1.4,6449,7.1,I-S1a-V2-P3,<115,72.1,70.6,1.5,72.1,1.5,88.2,75.8,12.4,16.1,5.2,10.9,30.7,31.2,-0.5,,,,,,,,,,false,severe
wedge_test_shot2,54.7,26.8,1.6,4976,5.7,C-S0-V3-P2,<115,53.3,52.2,1.1,53.3,1.1,70.1,57.7,12.4,16.8,5.5,11.3,25.2,24.4,0.8,,,,,,,,,,false,severe
s4_shot_pw_2,53.2,25.0,0.2,4085,3.0,C-S0-V2-P2,<115,48.9,48.5,0.4,48.9,0.4,68.2,56.0,12.2,19.3,7.5,11.8,20.6,20.2,0.4,,,,,,,,,,false,severe
s5_shot_3w_37,100.9,23.6,6.4,7893,7.2,I-S2-V2-P4,115-150,136.4,131.0,5.4,136.4,5.4,143.8,131.7,12.1,7.4,0.7,6.7,77.9,87.5,-9.6,,,,,,,,,,false,severe
s4_shot_5i_27,84.9,7.0,5.7,2263,30.0,I-S1b-V0-P0,<115,54.3,55.3,-1.0,54.3,-1.0,104.1,92.1,12.0,49.8,36.8,13.0,5.7,5.8,-0.1,,,,,,,,,,false,severe
s3_shot_6i_37,82.6,10.2,11.0,3041,25.4,I-S1b-V1-P1,<115,67.6,71.5,-3.9,67.6,-3.9,108.9,97.2,11.7,41.3,25.7,15.6,10.9,11.8,-0.9,,,,,,,,,,false,severe
s3_shot_driver_56,118.7,17.1,-1.8,4554,2.8,D-S3-V1-P2,150-180,175.7,176.6,-0.9,175.7,-0.9,192.5,180.9,11.6,16.8,4.3,12.5,88.8,83.2,5.6,,,,,,,,,,false,severe
s3_shot_9i_1,89.0,15.1,-0.5,3563,11.3,I-S2-V1-P1,<115,106.5,106.7,-0.2,106.5,-0.2,109.3,120.8,-11.5,2.8,14.1,-11.3,32.2,30.8,1.4,,,,,,,,,,false,severe
s4_shot_pw_3,62.8,31.1,6.6,6129,6.3,W-S1a-V3-P3,<115,65.8,67.3,-1.5,65.8,-1.5,79.9,68.6,11.3,14.1,1.3,12.8,40.7,41.8,-1.1,,,,,,,,,,false,severe
s5_shot_lw_16,52.6,37.2,5.6,5241,7.6,C-S0-V4-P2,<115,49.7,50.6,-0.9,49.7,-0.9,63.1,51.8,11.3,13.4,1.2,12.2,36.1,36.6,-0.5,,,,,,,,,,false,severe
wedge_shot_2,51.8,37.0,2.4,5652,9.1,C-S0-V4-P3,<115,48.7,49.1,-0.4,48.7,-0.4,61.2,50.1,11.1,12.5,1.0,11.5,34.9,35.3,-0.4,,,,,,,,,,false,severe
s5_shot_lw_17,55.4,37.4,7.3,5903,9.9,C-S0-V4-P3,<115,55.1,54.5,0.6,55.1,0.6,66.3,55.4,10.9,11.2,0.9,10.3,41.2,41.0,0.2,,,,,,,,,,false,severe
s4_shot_6i_20,78.8,9.7,-0.7,4289,-0.0,I-S1b-V0-P2,<115,68.5,69.4,-0.9,68.5,-0.9,100.3,89.6,10.7,31.8,20.2,11.6,11.2,11.5,-0.3,,,,,,,,,,false,severe
s3_shot_5i_10,88.0,14.2,1.2,4065,8.4,I-S2-V1-P2,<115,103.0,103.1,-0.1,103.0,-0.1,106.1,116.7,-10.6,3.1,13.6,-10.5,32.4,28.4,4.0,,,,,,,,,,false,severe
s4_shot_pw_49,60.3,22.6,3.5,4044,5.0,I-S1a-V2-P2,<115,57.1,59.3,-2.2,57.1,-2.2,78.6,68.0,10.6,21.5,8.7,12.8,22.5,22.8,-0.3,,,,,,,,,,false,severe
s2_shot_19,128.6,12.5,-8.4,2514,5.1,D-S4-V1-P1,180-200,192.4,194.5,-2.1,192.4,-2.1,198.2,208.7,-10.5,5.8,14.2,-8.4,55.1,57.3,-2.2,,,,,,,,,,false,severe
s5_shot_pw_3,69.8,29.4,8.1,6334,8.1,I-S1a-V3-P3,<115,76.6,79.4,-2.8,76.6,-2.8,91.0,80.6,10.4,14.4,1.2,13.2,46.3,48.8,-2.5,,,,,,,,,,false,severe
s3_shot_driver_53,97.2,30.6,2.2,8926,6.0,W-S2-V3-P4,115-150,117.7,117.6,0.1,117.7,0.1,127.4,117.1,10.3,9.7,-0.5,10.2,97.4,105.8,-8.4,,,,,,,,,,false,severe
s2_shot_10,89.7,25.5,-3.1,6446,6.2,I-S2-V3-P3,115-150,118.5,115.1,3.4,118.5,3.4,126.6,116.4,10.2,8.1,1.3,6.8,66.0,72.0,-6.0,,,,,,,,,,false,severe
s4_shot_5i_28,86.0,15.9,-1.6,4179,1.0,I-S2-V1-P2,<115,100.5,103.1,-2.6,100.5,-2.6,104.6,114.6,-10.0,4.1,11.5,-7.4,35.4,32.2,3.2,,,,,,,,,,false,moderate
s5_shot_driver_48,123.1,15.3,-4.2,4480,-6.8,D-S4-V1-P2,180-200,186.0,184.2,1.8,186.0,1.8,199.0,189.2,9.8,13.0,5.0,8.0,79.3,79.3,0.0,,,,,,,,,,false,moderate
s4_shot_6i_22,76.9,7.7,14.4,3780,30.0,I-S1b-V0-P1,<115,54.2,50.8,3.4,54.2,3.4,88.3,78.8,9.5,34.1,28.0,6.1,6.7,6.0,0.7,,,,,,,,,,false,moderate
s4_shot_pw_47,46.7,24.6,2.3,3699,-0.0,C-S0-V2-P1,<115,36.8,37.4,-0.6,36.8,-0.6,54.7,45.2,9.5,17.9,7.8,10.1,14.6,14.6,0.0,,,,,,,,,,false,moderate
s5_shot_pw_1,48.4,29.0,5.6,4593,2.5,C-S0-V3-P2,<115,42.1,42.6,-0.5,42.1,-0.5,57.3,47.8,9.5,15.2,5.2,10.0,21.0,21.0,0.0,,,,,,,,,,false,moderate
s4_shot_3w_33,99.7,20.5,0.5,6997,1.6,I-S2-V2-P3,115-150,137.6,132.0,5.6,137.6,5.6,142.8,133.4,9.4,5.2,1.4,3.8,63.5,72.8,-9.3,,,,,,,,,,false,moderate
s4_shot_5i_25,89.1,16.7,1.1,5262,6.2,I-S2-V1-P2,<115,106.0,110.8,-4.8,106.0,-4.8,106.9,116.1,-9.2,0.9,5.3,-4.4,33.9,40.1,-6.2,,,,,,,,,,false,moderate
s4_shot_lw_38,47.6,37.8,6.1,5609,5.6,C-S0-V4-P3,<115,41.3,42.4,-1.1,41.3,-1.1,52.4,43.4,9.0,11.1,1.0,10.1,29.4,30.5,-1.1,,,,,,,,,,false,moderate
s5_shot_lw_18,52.3,36.2,0.1,5374,13.2,C-S0-V4-P2,<115,49.1,50.0,-0.9,49.1,-0.9,60.3,51.3,9.0,11.2,1.3,9.9,34.1,34.7,-0.6,,,,,,,,,,false,moderate
p_wedge_shot_1,82.3,26.5,-3.1,4946,6.7,I-S1b-V3-P2,<115,105.7,104.5,1.2,105.7,1.2,116.1,107.3,8.8,10.4,2.8,7.6,58.3,60.5,-2.2,,,,,,,,,,false,moderate
s3_shot_5i_13,75.0,8.0,2.5,3921,3.4,I-S1b-V0-P1,<115,55.1,53.9,1.2,55.1,1.2,87.6,78.9,8.7,32.5,25.0,7.5,7.2,6.8,0.4,,,,,,,,,,false,moderate
driver4,119.0,15.5,-10.2,4454,-7.8,D-S3-V1-P2,150-180,176.8,175.6,1.2,176.8,1.2,189.4,180.9,8.5,12.6,5.3,7.3,75.1,73.8,1.3,,,,,,,,,,false,moderate
s3_shot_6i_40,62.1,6.8,27.0,2768,30.0,I-S1a-V0-P1,<115,25.3,26.2,-0.9,25.3,-0.9,59.6,51.1,8.5,34.3,24.9,9.4,2.6,2.5,0.1,,,,,,,,,,false,moderate
s3_shot_6i_46,116.3,13.7,0.3,3008,10.7,D-S3-V1-P1,150-180,166.3,167.3,-1.0,166.3,-1.0,170.8,179.3,-8.5,4.5,12.0,-7.5,48.6,51.6,-3.0,,,,,,,,,,false,moderate
s4_shot_pw_48,46.5,25.5,3.8,4318,0.6,C-S0-V3-P2,<115,37.2,37.9,-0.7,37.2,-0.7,52.9,44.5,8.4,15.7,6.6,9.1,15.6,15.6,0.0,,,,,,,,,,false,moderate
s5_shot_pw_4,68.6,29.1,3.8,6801,6.8,I-S1a-V3-P3,<115,73.1,76.8,-3.7,73.1,-3.7,86.2,77.8,8.4,13.1,1.0,12.1,43.2,46.6,-3.4,,,,,,,,,,false,moderate
s2_shot_27,113.0,17.6,-2.3,4292,12.2,D-S3-V1-P2,150-180,162.8,164.5,-1.7,162.8,-1.7,177.9,169.6,8.3,15.1,5.1,10.0,75.7,73.6,2.1,,,,,,,,,,false,moderate
s3_shot_6i_49,71.2,7.7,16.1,2625,30.0,I-S1a-V0-P1,<115,38.3,39.9,-1.6,38.3,-1.6,78.6,70.3,8.3,40.3,30.4,9.9,4.3,4.5,-0.2,,,,,,,,,,false,moderate
s5_shot_7i_27,103.3,14.1,-1.8,5085,13.7,I-S2-V1-P2,115-150,142.4,136.6,5.8,142.4,5.8,150.9,142.8,8.1,8.5,6.2,2.3,54.8,46.5,8.3,,,,,,,,,,false,moderate
s5_shot_9i_19,101.2,20.5,-2.4,4282,5.8,I-S2-V2-P2,115-150,139.6,142.6,-3.0,139.6,-3.0,155.2,147.2,8.0,15.6,4.6,11.0,78.3,69.2,9.1,,,,,,,,,,false,moderate
s5_shot_9i_20,98.5,20.4,1.4,4377,10.4,I-S2-V2-P2,115-150,133.5,136.0,-2.5,133.5,-2.5,148.8,140.8,8.0,15.3,4.8,10.5,73.8,64.1,9.7,,,,,,,,,,false,moderate
s5_shot_7i_28,98.5,15.2,-3.4,3447,6.4,I-S2-V1-P1,115-150,129.3,129.8,-0.5,129.3,-0.5,132.5,140.3,-7.8,3.2,10.5,-7.3,38.7,40.9,-2.2,,,,,,,,,,false,moderate
approach_mid_iron_test_shot,93.9,22.9,-2.6,5375,2.0,I-S2-V2-P2,115-150,125.3,125.8,-0.5,125.3,-0.5,135.9,128.5,7.4,10.6,2.7,7.9,64.1,69.3,-5.2,,,,,,,,,,false,moderate
s3_shot_pw_67,81.7,28.1,6.3,6510,12.7,I-S1b-V3-P3,<115,101.3,100.0,1.3,101.3,1.3,108.3,101.1,7.2,7.0,1.1,5.9,61.9,65.0,-3.1,,,,,,,,,,false,moderate
s3_shot_6i_39,61.0,6.1,10.3,3285,22.0,I-S1a-V0-P1,<115,23.8,24.0,-0.2,23.8,-0.2,54.4,47.3,7.1,30.6,23.3,7.3,2.1,2.1,0.0,,,,,,,,,,false,moderate
s4_shot_pw_1,69.8,20.1,-0.6,3577,8.0,I-S1a-V2-P1,<115,73.5,74.8,-1.3,73.5,-1.3,76.8,83.7,-6.9,3.3,8.9,-5.6,28.8,26.2,2.6,,,,,,,,,,false,moderate
s5_shot_3w_39,129.9,11.9,-1.8,2965,-0.8,D-S4-V1-P1,180-200,196.6,197.1,-0.5,196.6,-0.5,202.1,208.9,-6.8,5.5,11.8,-6.3,56.6,59.4,-2.8,,,,,,,,,,false,moderate
s5_shot_7i_26,107.2,14.3,-2.9,4648,7.6,I-S3-V1-P2,115-150,150.1,147.4,2.7,150.1,2.7,160.6,153.9,6.7,10.5,6.5,4.0,61.5,51.9,9.6,,,,,,,,,,false,moderate
s3_shot_7i_29,107.6,13.8,-6.0,3633,4.7,I-S3-V1-P1,115-150,148.5,148.4,0.1,148.5,0.1,151.7,158.3,-6.6,3.2,9.9,-6.7,42.7,46.3,-3.6,,,,,,,,,,false,moderate
s3_shot_pw_64,69.6,28.6,0.2,5327,5.1,I-S1a-V3-P2,<115,83.5,80.1,3.4,83.5,3.4,88.7,82.4,6.3,5.2,2.3,2.9,47.0,46.4,0.6,,,,,,,,,,false,moderate
s3_shot_pw_65,81.2,28.4,2.9,6959,9.4,I-S1b-V3-P3,<115,99.5,98.5,1.0,99.5,1.0,105.6,99.4,6.2,6.1,0.9,5.2,62.7,65.6,-2.9,,,,,,,,,,false,moderate
s5_shot_pw_6,76.3,28.2,3.7,5434,9.1,I-S1b-V3-P2,<115,94.1,92.3,1.8,94.1,1.8,100.6,94.4,6.2,6.5,2.1,4.4,53.7,55.8,-2.1,,,,,,,,,,false,moderate
wedge_shot_1,48.7,29.0,-1.3,5684,11.1,C-S0-V3-P3,<115,41.1,42.6,-1.5,41.1,-1.5,53.1,46.9,6.2,12.0,4.3,7.7,20.5,21.3,-0.8,,,,,,,,,,false,moderate
5iron,102.1,17.4,1.5,5391,12.3,I-S2-V1-P2,115-150,140.2,138.1,2.1,140.2,2.1,148.3,142.2,6.1,8.1,4.1,4.0,61.3,59.6,1.7,,,,,,,,,,false,moderate
s2_shot_12,90.8,24.5,-3.9,7261,4.9,I-S2-V2-P3,115-150,116.6,115.4,1.2,116.6,1.2,122.4,116.4,6.0,5.8,1.0,4.8,65.1,71.5,-6.4,,,,,,,,,,false,moderate
s2_shot_20,120.9,15.0,-3.0,4245,9.6,D-S4-V1-P2,150-180,180.8,179.4,1.4,180.8,1.4,191.2,185.3,5.9,10.4,5.9,4.5,69.0,72.3,-3.3,,,,,,,,,,false,moderate
s5_shot_pw_7,79.7,28.1,4.4,5840,9.1,I-S1b-V3-P3,<115,97.6,97.9,-0.3,97.6,-0.3,105.3,99.5,5.8,7.7,1.6,6.1,57.6,61.5,-3.9,,,,,,,,,,false,moderate
s2_shot_18,105.7,20.5,-1.7,5667,8.2,I-S3-V2-P3,115-150,142.2,146.8,-4.6,142.2,-4.6,154.8,149.4,5.4,12.6,2.6,10.0,73.9,80.4,-6.5,,,,,,,,,,false,moderate
s5_shot_pw_8,76.4,28.2,1.6,5024,4.7,I-S1b-V3-P2,<115,93.5,93.4,0.1,93.5,0.1,101.1,95.9,5.2,7.6,2.5,5.1,53.7,55.9,-2.2,,,,,,,,,,false,moderate
s5_shot_8i_25,97.0,18.5,-2.0,4809,4.3,I-S2-V2-P2,115-150,131.3,130.8,0.5,131.3,0.5,140.7,135.6,5.1,9.4,4.8,4.6,63.4,56.2,7.2,,,,,,,,,,false,moderate
s5_shot_8i_22,100.8,15.6,-5.5,3498,3.5,I-S2-V1-P1,115-150,136.9,136.5,0.4,136.9,0.4,141.4,146.4,-5.0,4.5,9.9,-5.4,43.1,45.5,-2.4,,,,,,,,,,false,pass
s5_shot_lw_15,47.7,29.7,2.3,5999,-0.0,C-S0-V3-P3,<115,39.4,41.4,-2.0,39.4,-2.0,50.1,45.1,5.0,10.7,3.7,7.0,20.3,21.3,-1.0,,,,,,,,,,false,pass
s3_shot_driver_54,121.5,12.9,-5.3,3411,-10.0,D-S4-V1-P1,150-180,178.7,178.2,0.5,178.7,0.5,183.8,188.7,-4.9,5.1,10.5,-5.4,53.0,56.5,-3.5,,,,,,,,,,false,pass
wood2,118.8,14.5,-3.3,3026,11.2,D-S3-V1-P1,150-180,175.2,175.6,-0.4,175.2,-0.4,181.3,186.1,-4.8,6.1,10.5,-4.4,56.0,59.3,-3.3,,,,,,,,,,false,pass
s2_shot_17,122.9,14.4,-1.3,4119,6.7,D-S4-V1-P2,180-200,185.0,184.0,1.0,185.0,1.0,195.0,190.3,4.7,10.0,6.3,3.7,66.6,71.8,-5.2,,,,,,,,,,false,pass
s5_shot_driver_46,134.8,10.7,-2.4,3350,-6.5,D-S4-V1-P1,>200,205.0,204.1,0.9,205.0,0.9,210.5,215.2,-4.7,5.5,11.1,-5.6,56.8,59.2,-2.4,,,,,,,,,,false,pass
